periodBegin,periodEnd,Tree
2022-07-03T22:30:00Z,2022-07-04T03:30:00Z,FB8
2022-07-13T01:15:00Z,2022-07-13T05:30:00Z,FB8
2022-07-23T01:45:00Z,2022-07-23T06:00:00Z,FB8
2022-07-23T18:00:00Z,2022-07-23T22:45:00Z,FB8
2022-07-29T18:00:00Z,2022-07-30T00:30:00Z,FB8
2022-09-03T23:15:00Z,2022-09-04T03:00:00Z,FB8
2022-09-29T23:30:00Z,2022-09-30T03:45:00Z,FB8
2022-10-02T23:00:00Z,2022-10-03T03:00:00Z,FB8
2022-10-03T18:00:00Z,2022-10-03T21:45:00Z,FB8
2022-10-23T01:30:00Z,2022-10-23T06:00:00Z,FB8
2022-10-31T18:00:00Z,2022-10-31T23:45:00Z,FB8
2022-11-03T21:45:00Z,2022-11-04T01:00:00Z,FB8
2022-11-14T00:45:00Z,2022-11-14T04:15:00Z,FB8
2022-11-17T00:15:00Z,2022-11-17T05:45:00Z,FB8
2022-12-04T18:15:00Z,2022-12-04T23:30:00Z,FB8
2022-12-07T02:30:00Z,2022-12-07T05:30:00Z,FB8
2022-12-07T18:15:00Z,2022-12-08T04:00:00Z,FB8
2022-12-12T18:15:00Z,2022-12-12T21:30:00Z,FB8
2022-12-16T22:00:00Z,2022-12-17T02:00:00Z,FB8
2023-01-09T21:15:00Z,2023-01-10T03:30:00Z,FB8
2023-01-19T18:45:00Z,2023-01-19T22:00:00Z,FB8
2023-01-25T01:30:00Z,2023-01-25T05:15:00Z,FB8
2023-02-22T18:00:00Z,2023-02-22T21:15:00Z,FB8
2023-03-01T22:45:00Z,2023-03-02T02:30:00Z,FB8
2023-03-03T18:15:00Z,2023-03-04T00:30:00Z,FB8
2023-03-04T01:00:00Z,2023-03-04T06:00:00Z,FB8
2023-03-08T18:00:00Z,2023-03-08T23:30:00Z,FB8
2023-03-18T00:45:00Z,2023-03-18T05:00:00Z,FB8
2023-04-11T18:15:00Z,2023-04-11T21:15:00Z,FB8
2023-04-12T19:30:00Z,2023-04-13T00:00:00Z,FB8
2023-04-20T20:00:00Z,2023-04-20T23:30:00Z,FB8
2023-05-05T19:00:00Z,2023-05-05T22:45:00Z,FB8
2023-05-09T19:45:00Z,2023-05-09T23:00:00Z,FB8
2023-05-20T02:30:00Z,2023-05-20T05:30:00Z,FB8
