periodBegin,periodEnd,Tree
2022-06-26T18:15:00Z,2022-06-27T05:30:00Z,FB1
2022-06-28T00:15:00Z,2022-06-28T05:30:00Z,FB1
2022-07-03T22:30:00Z,2022-07-04T01:45:00Z,FB1
2022-07-04T19:00:00Z,2022-07-05T03:00:00Z,FB1
2022-07-08T02:15:00Z,2022-07-08T05:30:00Z,FB1
2022-07-09T21:45:00Z,2022-07-10T02:15:00Z,FB1
2022-07-12T02:00:00Z,2022-07-12T05:30:00Z,FB1
2022-07-27T02:00:00Z,2022-07-27T05:30:00Z,FB1
2022-07-29T01:00:00Z,2022-07-29T05:30:00Z,FB1
2022-07-29T18:15:00Z,2022-07-29T21:45:00Z,FB1
2022-07-31T23:45:00Z,2022-08-01T02:45:00Z,FB1
2022-08-06T19:15:00Z,2022-08-07T02:15:00Z,FB1
2022-08-13T19:30:00Z,2022-08-13T22:30:00Z,FB1
2022-08-20T19:15:00Z,2022-08-21T01:00:00Z,FB1
2022-09-30T00:15:00Z,2022-09-30T05:30:00Z,FB1
2022-10-24T01:15:00Z,2022-10-24T05:30:00Z,FB1
2022-10-26T18:00:00Z,2022-10-26T21:00:00Z,FB1
2022-10-31T18:00:00Z,2022-10-31T21:30:00Z,FB1
2022-11-04T00:30:00Z,2022-11-04T05:30:00Z,FB1
2022-12-01T23:15:00Z,2022-12-02T03:15:00Z,FB1
2022-12-05T01:15:00Z,2022-12-05T05:45:00Z,FB1
2022-12-05T19:00:00Z,2022-12-06T05:00:00Z,FB1
2022-12-08T03:00:00Z,2022-12-08T06:00:00Z,FB1
2022-12-08T19:30:00Z,2022-12-09T00:15:00Z,FB1
2022-12-12T18:00:00Z,2022-12-13T00:30:00Z,FB1
2022-12-14T19:15:00Z,2022-12-15T06:00:00Z,FB1
2022-12-16T21:15:00Z,2022-12-17T01:15:00Z,FB1
2022-12-26T01:15:00Z,2022-12-26T04:15:00Z,FB1
2022-12-29T01:30:00Z,2022-12-29T06:00:00Z,FB1
2023-01-11T03:00:00Z,2023-01-11T06:00:00Z,FB1
2023-01-13T18:30:00Z,2023-01-14T03:00:00Z,FB1
2023-01-19T22:15:00Z,2023-01-20T02:15:00Z,FB1
2023-01-28T18:00:00Z,2023-01-28T21:30:00Z,FB1
2023-02-22T18:45:00Z,2023-02-22T22:45:00Z,FB1
2023-02-23T03:00:00Z,2023-02-23T06:00:00Z,FB1
2023-03-02T00:30:00Z,2023-03-02T06:00:00Z,FB1
2023-03-03T21:30:00Z,2023-03-04T05:45:00Z,FB1
2023-03-07T23:15:00Z,2023-03-08T03:30:00Z,FB1
2023-03-08T18:00:00Z,2023-03-09T04:30:00Z,FB1
2023-03-18T00:15:00Z,2023-03-18T05:15:00Z,FB1
2023-03-19T18:15:00Z,2023-03-19T21:45:00Z,FB1
2023-03-21T00:45:00Z,2023-03-21T04:45:00Z,FB1
2023-04-01T21:30:00Z,2023-04-02T01:15:00Z,FB1
2023-04-11T18:30:00Z,2023-04-12T05:30:00Z,FB1
2023-04-12T18:30:00Z,2023-04-12T22:15:00Z,FB1
2023-04-16T01:45:00Z,2023-04-16T05:00:00Z,FB1
2023-04-20T18:45:00Z,2023-04-20T22:45:00Z,FB1
2023-05-03T20:15:00Z,2023-05-04T00:00:00Z,FB1
2023-05-05T18:45:00Z,2023-05-05T23:00:00Z,FB1
2023-05-22T19:00:00Z,2023-05-22T22:00:00Z,FB1
2023-06-03T18:30:00Z,2023-06-03T22:00:00Z,FB1
2023-06-06T18:15:00Z,2023-06-06T22:45:00Z,FB1
2023-06-11T18:15:00Z,2023-06-12T05:30:00Z,FB1
2023-06-12T21:00:00Z,2023-06-13T05:15:00Z,FB1
2023-06-14T01:15:00Z,2023-06-14T05:15:00Z,FB1
2023-06-24T21:30:00Z,2023-06-25T05:15:00Z,FB1
2023-06-25T18:15:00Z,2023-06-25T21:15:00Z,FB1
2023-06-28T02:15:00Z,2023-06-28T05:15:00Z,FB1
2023-06-28T21:15:00Z,2023-06-29T05:30:00Z,FB1
2023-07-12T01:30:00Z,2023-07-12T05:30:00Z,FB1
2023-07-17T01:30:00Z,2023-07-17T05:30:00Z,FB1
2023-07-19T19:00:00Z,2023-07-20T00:30:00Z,FB1
2023-07-25T18:30:00Z,2023-07-26T02:15:00Z,FB1
2023-07-28T01:45:00Z,2023-07-28T05:30:00Z,FB1
2023-07-28T18:00:00Z,2023-07-28T21:45:00Z,FB1
2023-08-05T18:30:00Z,2023-08-06T00:30:00Z,FB1
2023-08-06T18:00:00Z,2023-08-06T21:15:00Z,FB1
2023-08-09T22:00:00Z,2023-08-10T01:45:00Z,FB1
2023-08-13T21:45:00Z,2023-08-14T03:15:00Z,FB1
2023-08-16T22:15:00Z,2023-08-17T04:15:00Z,FB1
2023-08-28T18:00:00Z,2023-08-29T02:15:00Z,FB1
2023-08-29T18:00:00Z,2023-08-29T23:00:00Z,FB1
2023-08-30T02:00:00Z,2023-08-30T05:30:00Z,FB1
2023-08-31T18:45:00Z,2023-09-01T04:15:00Z,FB1
2023-09-02T01:15:00Z,2023-09-02T05:30:00Z,FB1
2023-09-02T20:30:00Z,2023-09-03T01:15:00Z,FB1
2023-09-03T18:00:00Z,2023-09-03T21:45:00Z,FB1
2023-09-05T00:30:00Z,2023-09-05T05:30:00Z,FB1
2023-09-08T22:00:00Z,2023-09-09T01:00:00Z,FB1
2023-09-09T01:30:00Z,2023-09-09T05:30:00Z,FB1
2023-09-13T00:00:00Z,2023-09-13T04:00:00Z,FB1
2023-09-13T18:00:00Z,2023-09-13T21:30:00Z,FB1
2023-09-15T23:30:00Z,2023-09-16T05:30:00Z,FB1
2023-09-16T23:30:00Z,2023-09-17T05:30:00Z,FB1
2023-09-22T18:00:00Z,2023-09-22T23:30:00Z,FB1
2023-09-23T18:00:00Z,2023-09-23T22:00:00Z,FB1
2023-09-26T18:00:00Z,2023-09-26T22:15:00Z,FB1
2023-10-16T00:45:00Z,2023-10-16T04:00:00Z,FB1
2023-10-21T18:00:00Z,2023-10-22T04:45:00Z,FB1
2023-11-02T18:00:00Z,2023-11-03T02:15:00Z,FB1
2023-11-09T22:15:00Z,2023-11-10T01:15:00Z,FB1
2023-11-13T02:30:00Z,2023-11-13T05:30:00Z,FB1
2023-11-15T19:30:00Z,2023-11-15T22:30:00Z,FB1
2023-11-17T23:15:00Z,2023-11-18T05:30:00Z,FB1
2023-11-28T00:15:00Z,2023-11-28T05:00:00Z,FB1
2023-11-30T22:45:00Z,2023-12-01T02:15:00Z,FB1
2023-12-03T01:45:00Z,2023-12-03T05:30:00Z,FB1
2023-12-03T21:15:00Z,2023-12-04T02:45:00Z,FB1
2023-12-05T02:00:00Z,2023-12-05T05:45:00Z,FB1
