periodBegin,periodEnd,Tree
2022-06-27T02:30:00Z,2022-06-27T05:30:00Z,FB6
2022-06-28T00:45:00Z,2022-06-28T05:45:00Z,FB6
2022-07-03T22:15:00Z,2022-07-04T01:30:00Z,FB6
2022-07-05T23:30:00Z,2022-07-06T05:30:00Z,FB6
2022-07-09T22:15:00Z,2022-07-10T02:30:00Z,FB6
2022-07-12T23:15:00Z,2022-07-13T05:30:00Z,FB6
2022-07-23T18:00:00Z,2022-07-23T22:45:00Z,FB6
2022-07-29T18:00:00Z,2022-07-29T23:00:00Z,FB6
2022-07-31T23:45:00Z,2022-08-01T02:45:00Z,FB6
2022-08-06T19:00:00Z,2022-08-07T02:30:00Z,FB6
2022-08-13T00:15:00Z,2022-08-13T05:45:00Z,FB6
2022-08-13T18:30:00Z,2022-08-13T22:45:00Z,FB6
2022-08-15T18:00:00Z,2022-08-15T22:00:00Z,FB6
2022-08-20T18:00:00Z,2022-08-21T00:45:00Z,FB6
2022-08-27T20:30:00Z,2022-08-28T03:00:00Z,FB6
2022-09-03T23:00:00Z,2022-09-04T03:30:00Z,FB6
2022-09-10T22:00:00Z,2022-09-11T03:00:00Z,FB6
2022-09-16T00:30:00Z,2022-09-16T06:00:00Z,FB6
2022-09-26T00:15:00Z,2022-09-26T04:15:00Z,FB6
2022-09-27T18:00:00Z,2022-09-27T22:00:00Z,FB6
2022-09-29T22:30:00Z,2022-09-30T05:30:00Z,FB6
2022-10-31T18:00:00Z,2022-10-31T21:45:00Z,FB6
2022-11-03T21:45:00Z,2022-11-04T01:30:00Z,FB6
2022-12-01T23:45:00Z,2022-12-02T03:15:00Z,FB6
2022-12-08T20:15:00Z,2022-12-08T23:15:00Z,FB6
2023-01-11T03:00:00Z,2023-01-11T06:00:00Z,FB6
2023-02-09T03:00:00Z,2023-02-09T06:00:00Z,FB6
2023-02-27T03:00:00Z,2023-02-27T06:00:00Z,FB6
2023-03-01T23:00:00Z,2023-03-02T06:00:00Z,FB6
2023-03-02T21:45:00Z,2023-03-03T01:00:00Z,FB6
2023-03-04T01:15:00Z,2023-03-04T06:00:00Z,FB6
2023-03-08T18:00:00Z,2023-03-08T23:30:00Z,FB6
2023-03-17T19:15:00Z,2023-03-17T22:45:00Z,FB6
2023-04-01T21:45:00Z,2023-04-02T01:15:00Z,FB6
2023-04-05T20:15:00Z,2023-04-06T02:15:00Z,FB6
2023-04-11T18:00:00Z,2023-04-11T22:15:00Z,FB6
2023-04-12T18:15:00Z,2023-04-12T22:30:00Z,FB6
2023-04-15T18:00:00Z,2023-04-15T21:30:00Z,FB6
2023-04-16T01:00:00Z,2023-04-16T04:00:00Z,FB6
2023-04-16T18:00:00Z,2023-04-16T23:00:00Z,FB6
2023-04-20T18:00:00Z,2023-04-21T00:15:00Z,FB6
2023-05-03T20:15:00Z,2023-05-04T00:00:00Z,FB6
2023-05-05T18:30:00Z,2023-05-05T23:00:00Z,FB6
2023-05-09T18:30:00Z,2023-05-09T23:15:00Z,FB6
2023-05-10T18:00:00Z,2023-05-10T21:00:00Z,FB6
2023-05-11T21:30:00Z,2023-05-12T01:45:00Z,FB6
2023-05-22T18:00:00Z,2023-05-22T21:45:00Z,FB6
2023-05-30T02:15:00Z,2023-05-30T05:15:00Z,FB6
2023-06-02T22:15:00Z,2023-06-03T01:15:00Z,FB6
2023-06-03T18:15:00Z,2023-06-03T22:15:00Z,FB6
2023-06-11T18:00:00Z,2023-06-12T05:30:00Z,FB6
2023-06-23T23:15:00Z,2023-06-24T05:30:00Z,FB6
2023-06-25T18:00:00Z,2023-06-25T21:30:00Z,FB6
2023-06-28T19:45:00Z,2023-06-29T05:00:00Z,FB6
2023-07-05T18:15:00Z,2023-07-05T23:30:00Z,FB6
2023-07-12T01:00:00Z,2023-07-12T05:00:00Z,FB6
2023-07-17T01:45:00Z,2023-07-17T05:45:00Z,FB6
2023-07-19T18:45:00Z,2023-07-19T22:30:00Z,FB6
2023-07-25T19:30:00Z,2023-07-25T23:15:00Z,FB6
2023-07-28T18:00:00Z,2023-07-28T21:30:00Z,FB6
2023-08-05T18:15:00Z,2023-08-05T21:15:00Z,FB6
2023-08-09T22:00:00Z,2023-08-10T01:45:00Z,FB6
